seed,layer,epsilon,cc,tag,mode,component,label,field,pearson_corr
0,13,1.0,ambig,noflip,chosen,5,MANUAL,delta_max_token_l2,0.017795212065224403
0,13,1.0,ambig,noflip,chosen,6,MANUAL,delta_max_token_l2,-0.04184442223729559
0,13,1.0,ambig,noflip,chosen,7,MANUAL,delta_max_token_l2,-0.10016451909931674
0,13,1.0,ambig,noflip,chosen,8,MANUAL,delta_max_token_l2,0.0751717520950831
0,13,1.0,ambig,noflip,chosen,9,MANUAL,delta_max_token_l2,0.04217521082284929
0,13,1.0,ambig,noflip,chosen,0,MANUAL,delta_mean_token_l2,-0.281258279021601
0,13,1.0,ambig,noflip,chosen,1,MANUAL,delta_mean_token_l2,0.020935262814836958
0,13,1.0,ambig,noflip,chosen,2,MANUAL,delta_mean_token_l2,0.08372878731613255
0,13,1.0,ambig,noflip,chosen,3,MANUAL,delta_mean_token_l2,0.042414070219504045
0,13,1.0,ambig,noflip,chosen,4,MANUAL,delta_mean_token_l2,-0.3232811941974442
0,13,1.0,ambig,noflip,chosen,5,MANUAL,delta_mean_token_l2,-0.12224903352273431
0,13,1.0,ambig,noflip,chosen,6,MANUAL,delta_mean_token_l2,-0.13175201712222123
0,13,1.0,ambig,noflip,chosen,7,MANUAL,delta_mean_token_l2,-0.11378315936747758
0,13,1.0,ambig,noflip,chosen,8,MANUAL,delta_mean_token_l2,0.10414383712049784
0,13,1.0,ambig,noflip,chosen,9,MANUAL,delta_mean_token_l2,-0.09284441712401742
0,13,1.0,ambig,noflip,chosen,0,MANUAL,flipped,-0.0949239350721779
0,13,1.0,ambig,noflip,chosen,1,MANUAL,flipped,-0.16258569218058172
0,13,1.0,ambig,noflip,chosen,2,MANUAL,flipped,0.10924149387006755
0,13,1.0,ambig,noflip,chosen,3,MANUAL,flipped,-0.32234220108583944
0,13,1.0,ambig,noflip,chosen,4,MANUAL,flipped,0.3245987840396327
0,13,1.0,ambig,noflip,chosen,5,MANUAL,flipped,0.39109608331792844
0,13,1.0,ambig,noflip,chosen,6,MANUAL,flipped,-0.07315490602259471
0,13,1.0,ambig,noflip,chosen,7,MANUAL,flipped,0.3409448101747212
0,13,1.0,ambig,noflip,chosen,8,MANUAL,flipped,-0.041023711795169775
0,13,1.0,ambig,noflip,chosen,9,MANUAL,flipped,-0.014985263927148372
0,13,1.0,ambig,noflip,rejected,0,MANUAL,reward_delta,0.2092614539460636
0,13,1.0,ambig,noflip,rejected,1,MANUAL,reward_delta,-0.11487357685904631
0,13,1.0,ambig,noflip,rejected,2,MANUAL,reward_delta,-0.08066542003675012
0,13,1.0,ambig,noflip,rejected,3,MANUAL,reward_delta,-0.1419092849554111
0,13,1.0,ambig,noflip,rejected,4,MANUAL,reward_delta,-0.07661521697045627
0,13,1.0,ambig,noflip,rejected,5,MANUAL,reward_delta,0.3080479052025657
0,13,1.0,ambig,noflip,rejected,6,MANUAL,reward_delta,-0.23312141003909823
0,13,1.0,ambig,noflip,rejected,7,MANUAL,reward_delta,0.09020204798686031
0,13,1.0,ambig,noflip,rejected,8,MANUAL,reward_delta,0.18479355976516804
0,13,1.0,ambig,noflip,rejected,9,MANUAL,reward_delta,-0.10895212582539
